Prefecture,Pop_1980,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Latitude,Longitude
Hokkaido,5576000,5679000,5644000,5692000,5683000,5628000,5506000,43.449217,142.777095
Aomori,1524000,1524000,1483000,1482000,1476000,1437000,1373000,40.699468,140.966552
Iwate,1422000,1434000,1417000,1420000,1416000,1385000,1330000,39.572697,141.373403
Miyagi,2082000,2176000,2249000,2329000,2365000,2360000,2348000,38.573864,140.875798
Akita,1257000,1254000,1227000,1214000,1189000,1146000,1086000,39.764912,140.415133
Yamagata,1252000,1262000,1258000,1257000,1244000,1216000,1169000,38.624156,140.13739
Fukushima,2035000,2080000,2104000,2134000,2127000,2091000,2029000,37.372318,140.521022
Ibaraki,2558000,2725000,2845000,2956000,2986000,2975000,2970000,36.158025,140.307438
Tochigi,1792000,1866000,1935000,1984000,2005000,2017000,2008000,36.714324,139.825431
Gumma,1849000,1921000,1966000,2004000,2025000,2024000,2008000,36.5565,139.035028
Saitama,5420000,5864000,6405000,6759000,6938000,7054000,7195000,36.022293,139.356126
Chiba,4735000,5148000,5555000,5798000,5926000,6056000,6216000,35.66064,140.302775
Tokyo,11618000,11829000,11856000,11774000,12064000,12577000,13159000,35.675099,139.393288
Kanagawa,6924000,7432000,7980000,8246000,8490000,8792000,9048000,35.455659,139.298308
Niigata,2451000,2478000,2475000,2488000,2476000,2431000,2374000,37.265865,138.844717
Toyama,1103000,1118000,1120000,1123000,1121000,1112000,1093000,36.611895,137.274304
Ishikawa,1119000,1152000,1165000,1180000,1181000,1174000,1170000,36.343617,136.590271
Fukui,794000,818000,824000,827000,829000,822000,806000,35.98444,136.234931
Yamanashi,804000,833000,853000,882000,888000,885000,863000,35.636944,138.72757
Nagano,2084000,2137000,2157000,2194000,2215000,2196000,2152000,36.233925,138.053928
Gifu,1960000,2029000,2067000,2100000,2108000,2107000,2081000,35.699484,137.064236
Shizuoka,3447000,3575000,3671000,3738000,3767000,3792000,3765000,34.99611,138.061706
Aichi,6222000,6455000,6691000,6868000,7043000,7255000,7411000,35.040169,137.259429
Mie,1687000,1747000,1793000,1841000,1857000,1867000,1855000,34.448957,136.414169
Shiga,1080000,1156000,1222000,1287000,1343000,1380000,1411000,35.212375,136.128153
Kyoto,2527000,2587000,2602000,2630000,2644000,2648000,2636000,35.174408,135.581264
Osaka,8473000,8668000,8735000,8797000,8805000,8817000,8865000,34.685181,135.557903
Hyogo,5145000,5278000,5405000,5402000,5551000,5591000,5588000,35.034343,134.86514
Nara,1209000,1305000,1375000,1431000,1443000,1421000,1401000,34.327889,135.891749
Wakayama,1087000,1087000,1074000,1080000,1070000,1036000,1002000,33.936215,135.417082
Tottori,604000,616000,616000,615000,613000,607000,589000,35.408794,133.838924
Shimane,785000,795000,781000,771000,762000,742000,717000,35.019795,132.512404
Okayama,1871000,1917000,1926000,1951000,1951000,1957000,1945000,34.912424,133.803375
Hiroshima,2739000,2819000,2850000,2882000,2879000,2877000,2861000,34.585676,132.787379
Yamaguchi,1587000,1602000,1573000,1556000,1528000,1493000,1451000,34.252771,131.561973
Tokushima,825000,835000,832000,832000,824000,810000,785000,33.920016,134.2751
Kagawa,1000000,1023000,1023000,1027000,1023000,1012000,996000,34.224037,133.973674
Ehime,1507000,1530000,1515000,1507000,1493000,1468000,1431000,33.767778,132.906995
Kochi,831000,840000,825000,817000,814000,796000,764000,33.627502,133.367512
Fukuoka,4553000,4719000,4811000,4933000,5016000,5050000,5072000,33.624186,130.704837
Saga,866000,880000,878000,884000,877000,866000,850000,33.293482,130.088743
Nagasaki,1591000,1594000,1563000,1545000,1517000,1479000,1427000,32.925538,130.02718
Kumamoto,1790000,1838000,1840000,1860000,1859000,1842000,1817000,32.777443,130.871033
Oita,1229000,1250000,1237000,1231000,1221000,1210000,1197000,33.090764,131.428905
Miyazaki,1152000,1176000,1169000,1176000,1170000,1153000,1135000,32.277512,131.337844
Kagoshima,1785000,1819000,1798000,1794000,1786000,1753000,1706000,31.882039,130.456094
Okinawa ,1107000,1179000,1222000,1273000,1318000,1362000,1393000,26.59508,128.073892